day;weekend;holidays;holiday
25/11/2014;будни;-;f
26/11/2014;будни;-;f
27/11/2014;будни;-;f
28/11/2014;будни;-;f
29/11/2014;вых;-;f
30/11/2014;вых;-;f
01/12/2014;будни;-;f
02/12/2014;будни;-;f
03/12/2014;будни;-;f
04/12/2014;будни;-;f
05/12/2014;будни;-;f
06/12/2014;вых;-;f
07/12/2014;вых;-;f
08/12/2014;будни;-;f
09/12/2014;будни;-;f
10/12/2014;будни;-;f
11/12/2014;будни;-;f
12/12/2014;будни;-;f
13/12/2014;вых;-;f
14/12/2014;вых;-;f
15/12/2014;будни;-;f
16/12/2014;будни;-;f
17/12/2014;будни;-;f
18/12/2014;будни;-;f
19/12/2014;будни;-;f
20/12/2014;вых;-;f
21/12/2014;вых;-;f
22/12/2014;будни;-;f
23/12/2014;будни;-;f
24/12/2014;будни;-;f
25/12/2014;будни;-;f
26/12/2014;будни;-;f
27/12/2014;вых;-;f
28/12/2014;вых;-;f
29/12/2014;будни;-;f
30/12/2014;будни;-;f
31/12/2014;будни;-;f
01/01/2015;будни;нг;t
02/01/2015;будни;нг;f
03/01/2015;вых;нг;f
04/01/2015;вых;нг;f
05/01/2015;будни;нг;f
06/01/2015;будни;нг;f
07/01/2015;будни;нг;t
08/01/2015;будни;нг;f
09/01/2015;будни;нг;f
10/01/2015;вых;нг;f
11/01/2015;вых;нг;f
12/01/2015;будни;-;f
13/01/2015;будни;-;f
14/01/2015;будни;-;f
15/01/2015;будни;-;f
16/01/2015;будни;-;f
17/01/2015;вых;-;f
18/01/2015;вых;-;f
19/01/2015;будни;-;f
20/01/2015;будни;-;f
21/01/2015;будни;-;f
22/01/2015;будни;-;f
23/01/2015;будни;-;f
24/01/2015;вых;-;f
25/01/2015;вых;-;f
26/01/2015;будни;-;f
27/01/2015;будни;-;f
28/01/2015;будни;-;f
29/01/2015;будни;-;f
30/01/2015;будни;-;f
31/01/2015;вых;-;f
01/02/2015;вых;-;f
02/02/2015;будни;-;f
03/02/2015;будни;-;f
04/02/2015;будни;-;f
05/02/2015;будни;-;f
06/02/2015;будни;-;f
07/02/2015;вых;-;f
08/02/2015;вых;-;f
09/02/2015;будни;-;f
10/02/2015;будни;-;f
11/02/2015;будни;-;f
12/02/2015;будни;-;f
13/02/2015;будни;-;f
14/02/2015;вых;-;f
15/02/2015;вых;-;f
16/02/2015;будни;-;f
17/02/2015;будни;-;f
18/02/2015;будни;-;f
19/02/2015;будни;-;f
20/02/2015;будни;-;f
21/02/2015;вых;23февраля;f
22/02/2015;вых;23февраля;f
